Joshua Project People Group Data

ROL3,Language,NbrPGICs,NbrCountries,Status,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID
aou,A'ou,,,N,0,,,,N,N,
aiw,Aari,1,1,L,5,2015-2017,1997,Yes,Y,Y,
aas,Aasax,,,N,0,,,,N,N,
kbt,Abadi,1,1,L,3,,,2009-2016,N,N,
abf,"Abai Sungai",1,1,L,0,,,,N,N,
bzy,Abanglekuo,1,1,L,3,,,2017-2024,Y,Y,
abm,Abanyom,1,1,L,3,,,2022,Y,Y,abm
aau,Abau,1,1,L,4,,2004-2013,1990,Y,Y,aau
abq,Abaza,2,2,L,3,,,2019-2024,N,N,
aba,Abe,1,1,L,3,,,1967-1981,N,Y,
aaq,"Abenaki, Eastern",,,N,0,,,,N,N,
abe,"Abenaki, Western",,,N,3,,,1844,N,N,
abi,Abidji,1,1,L,4,,2001,1978-1988,Y,Y,
bsa,Abinomn,1,1,L,2,,,,N,N,
pcn,Abishi,1,1,L,2,,,,N,Y,
abk,Abkhaz,6,6,L,4,,2015,1912-1981,Y,N,
aob,Abom,,,N,0,,,,N,N,
abo,Abon,1,1,L,2,,,,N,Y,
abr,Abron,2,2,L,4,,2021-2024,Yes,N,Y,3971
ado,Abu,1,1,L,3,,,2006,N,Y,
abn,Abua,1,1,L,5,2018,1978,1967-1990,N,Y,abn
abz,Abui,1,1,L,3,,,Yes,N,Y,
kgr,Abun,1,1,L,4,,2004,1991-1995,N,Y,kgr
abu,Abure,1,1,L,3,,,2022,Y,Y,
mgj,Abureni,1,1,L,3,,,2022,Y,N,mgj
ace,Aceh,1,1,L,5,1997,1996,1973,N,Y,ace
aca,Achagua,1,1,L,4,,2013,1985-2013,N,Y,aca
acn,Achang,4,2,L,5,2010-2011,1992-2005,Yes,Y,Y,acn
guq,Ache,1,1,L,4,,2014,1978-2007,Y,Y,
yif,Ache,1,1,L,3,,,2024,Y,Y,
acz,Acheron,1,1,L,3,,,2025-2026,Y,Y,
acr,Achi,2,1,L,5,2019-2023,1984-2009,1962-1993,Y,Y,acr
ach,Acholi,2,2,L,5,1985-1986,1933,1905-1962,Y,Y,ach
act,Achterhoeks,,,L,3,,,2002,N,N,
acu,Achuar-Shiwiar,2,2,L,4,,1981-2019,1973-1988,Y,Y,acu
acv,Achumawi,,,N,0,,,,N,Y,
acp,"Acipa, Eastern",1,1,L,2,,,,N,N,
ads,"Adamorobe Sign Language",,,L,2,,,,N,N,
adn,Adang,1,1,L,3,,,Yes,N,Y,
adq,Adangbe,2,2,L,3,,,Yes,N,Y,
kad,Adara,1,1,L,3,,,Yes,Y,Y,4465
tiu,Adasen,1,1,L,4,,1990,Yes,N,N,tiu
ade,Adele,2,2,L,4,,1996-2001,1992-1993,Y,Y,
adi,Adi,127,,L,5,2005-2012,1988-2003,1932-1986,Y,Y,adi
adl,"Adi, Galo",21,,L,4,,2023,Yes,Y,Y,adl
adj,Adioukrou,1,1,L,4,,1998-2013,1927-1994,Y,Y,adj
adt,Adnyamathanha,,,N,4,,2026,,N,N,
adr,Adonara,1,1,L,3,,,2022,Y,N,
adu,Aduge,1,1,L,2,,,,N,N,
ady,Adyghe,11,10,L,4,,1991-2019,Yes,Y,Y,ady
adz,Adzera,2,1,L,4,,1976,1968-2001,Y,Y,adz
aez,Aeka,1,1,L,2,,,,N,Y,
awi,Aekyom,1,1,L,4,,1987,1958-1964,N,Y,
aeq,Aer,1,,L,2,,,,N,N,
aal,Afade,2,2,L,2,,,,N,Y,
aar,Afar,3,3,L,5,2013-2023,1994,1975-1986,Y,Y,aar
afg,"Afghan Sign Language",1,1,L,1,,,,N,N,
