# Every Language — Portfolio Status
# Generated at (UTC),2026-09-07T03:41:14.596Z
# Source,"lq_project_dashboard (live, unaudited — NOT a pay artifact)"

Project Name,ISO Code,Total Books,Chapters Recorded,Total Chapters,Chapters Recorded %,Gospel %,NT %,OT %,Recordings,Last Activity,Category
Bajika,,7,136,149,11.4,100.0,52.3,,17658,7d ago,matched
Berom Fan,,44,679,696,57.1,100.0,100.0,45.1,145755,5d ago,matched
Bhujel,,20,463,677,38.9,,,49.8,44583,9d ago,matched
Birat Rajbanshi,,25,371,408,31.2,3.4,1.2,39.6,20295,8d ago,matched
Central Thai SPV,,3,68,68,5.7,76.4,26.2,,75,25d ago,matched
Dawan Amanuban,,8,157,162,13.2,98.9,60.4,,6028,1d ago,matched
Desauri Tharu,,21,233,237,19.6,100.0,89.6,,30970,2d ago,matched
Dhimal,,25,203,211,17.1,44.9,78.1,,7226,2d ago,matched
Dhut magar,,28,408,410,34.3,100.0,100.0,15.9,38501,7d ago,matched
Dzongkha,,0,0,0,0.0,,,,0,,matched
Eastern Newari SPV,,0,0,0,0.0,,,,0,,airtable_only
Gihara Bhasa,,30,371,377,31.2,100.0,100.0,11.8,25150,2d ago,matched
Halbi,,41,347,347,29.2,100.0,100.0,9.4,53699,2d ago,matched
Hindustani Burmese,,1,16,16,1.3,18.0,6.2,,450,183d ago,matched
Javanese,,28,276,310,23.2,100.0,100.0,1.6,1106,0d ago,matched
"Karen, Phrae Pwo",,1,16,16,1.3,18.0,6.2,,16,206d ago,matched
Koch Rajbanshi,,23,433,434,36.4,,,46.6,57758,10d ago,matched
Koro-Miamiya,,39,478,480,40.2,100.0,99.6,23.6,58386,1d ago,matched
Kui,,27,259,260,21.8,100.0,99.6,,8144,10d ago,matched
Kuturmi-Iwingo,,39,523,537,44.0,100.0,100.0,28.3,68092,3d ago,matched
Lower assam deshi basha,,20,134,150,11.3,59.6,51.5,,20178,2d ago,matched
Malay Papua,,0,0,0,0.0,,,,0,,airtable_only
Marathi,,0,0,0,0.0,,,,0,,airtable_only
Meche,,9,364,388,30.6,,,39.2,57520,2d ago,matched
Mlabri,,1,17,16,1.4,19.1,6.5,,17,205d ago,matched
Moklen,,1,17,16,1.4,19.1,6.5,,21,191d ago,matched
Mpi,,1,16,16,1.3,18.0,6.2,,17,191d ago,matched
Musselmani Tamil,,0,0,0,0.0,,,,0,,airtable_only
Ninkyob,,31,392,413,33.0,98.9,99.2,14.4,39659,2d ago,matched
Nyaw,,1,16,16,1.3,18.0,6.2,,16,206d ago,matched
Nyeu (Kui),,1,16,16,1.3,18.0,6.2,,16,201d ago,matched
"Pwo Karen, Eastern",,4,89,89,7.5,100.0,34.2,,101,34d ago,matched
Rasuwa Tamang,,28,257,265,21.6,68.5,78.5,5.7,30838,16d ago,matched
Sabu-Seba,,1,4,24,0.3,4.5,1.5,,232,121d ago,matched
Santhali,,23,552,747,46.4,,,59.4,50087,2d ago,matched
Singaporean Hokkien,,4,12,73,1.0,11.2,4.6,,485,3d ago,matched
Telegu,,0,0,0,0.0,,,,0,,airtable_only
Test language,,0,0,0,0.0,,,,0,,airtable_only
Thai Song,,1,16,16,1.3,18.0,6.2,,17,204d ago,matched
Tshangla,,1,2,21,0.2,2.2,0.8,,68,116d ago,matched
Tyap Sholio (Atyap),,36,397,489,33.4,100.0,100.0,14.7,35510,2d ago,matched
Yong,,1,16,16,1.3,18.0,6.2,,16,190d ago,matched
Yoy,,1,18,16,1.5,20.2,6.9,,28,180d ago,matched
